edu10-1 19:35:16.694 INFO  com.kt.edu.thirdproject.ThirdprojectApplication : - Starting ThirdprojectApplication using Java 17.0.2 with PID 85016 (/Users/jakelee/springboot_data_jdbc_1/target/classes started by jakelee in /Users/jakelee/springboot_data_jdbc_1) 
edu10-1 19:35:16.700 DEBUG com.kt.edu.thirdproject.ThirdprojectApplication : - Running with Spring Boot v3.2.1, Spring v6.1.2 
edu10-1 19:35:16.701 INFO  com.kt.edu.thirdproject.ThirdprojectApplication : - The following 1 profile is active: "local" 
edu10-1 19:35:17.229 INFO  org.apache.coyote.http11.Http11NioProtocol : - Initializing ProtocolHandler ["http-nio-8080"] 
edu10-1 19:35:17.230 INFO  org.apache.catalina.core.StandardService : - Starting service [Tomcat] 
edu10-1 19:35:17.230 INFO  org.apache.catalina.core.StandardEngine : - Starting Servlet engine: [Apache Tomcat/10.1.17] 
edu10-1 19:35:17.249 INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : - Initializing Spring embedded WebApplicationContext 
edu10-1 19:35:17.306 INFO  com.zaxxer.hikari.HikariDataSource : - hikari-cp - Starting... 
edu10-1 19:35:17.352 INFO  com.zaxxer.hikari.pool.HikariPool : - hikari-cp - Added connection net.sf.log4jdbc.sql.jdbcapi.ConnectionSpy@73d60299 
edu10-1 19:35:17.353 INFO  com.zaxxer.hikari.HikariDataSource : - hikari-cp - Start completed. 
edu10-1 19:35:17.362 INFO  jdbc.sqltiming : - create sequence hibernate_sequence\n {executed in 1 msec} 
edu10-1 19:35:17.363 INFO  jdbc.sqltiming : - create table article ( id long not null, title varchar(255), content varchar(255) )\n {executed in 1 msec} 
edu10-1 19:35:17.364 INFO  jdbc.sqltiming : - alter table article add constraint article_pk primary key (id)\n {executed in 1 msec} 
edu10-1 19:35:17.367 INFO  jdbc.sqltiming : - INSERT INTO article(id, title, content) VALUES(1, '1', '테스트 1')\n {executed in 2 msec} 
edu10-1 19:35:17.367 INFO  jdbc.sqltiming : - INSERT INTO article(id, title, content) VALUES(2, '2', '테스트2')\n {executed in 0 msec} 
edu10-1 19:35:17.367 INFO  jdbc.sqltiming : - INSERT INTO article(id, title, content) VALUES(3, '3', '테스트 3')\n {executed in 0 msec} 
edu10-1 19:35:17.718 INFO  org.apache.coyote.http11.Http11NioProtocol : - Starting ProtocolHandler ["http-nio-8080"] 
edu10-1 19:35:17.731 INFO  com.kt.edu.thirdproject.ThirdprojectApplication : - Started ThirdprojectApplication in 1.249 seconds (process running for 2.012) 
edu10-1 19:35:21.519 INFO  com.zaxxer.hikari.HikariDataSource : - hikari-cp - Shutdown initiated... 
edu10-1 19:35:21.520 INFO  com.zaxxer.hikari.HikariDataSource : - hikari-cp - Shutdown completed. 
